Segment,Error_Code,Error_ID,Description
CM,16536,QUICK_CXL_REJECTED,Quick Cancel request rejected due to system error. Retry Quick Cancel Request
CM,16567,ERR_FRZ_REJECT_FOR_CLOSEOUT,This error code will be returned when a Close out order goes into freeze.
CM,16568,ERR_CLOSEOUT_NOT_ALLOWED,This error code is returned when a Close out order entry is not allowed.
CM,16569,ERR_CLOSEOUT_ORDER_REJECT,This error code is returned when a Close out order is rejected by the system.
CM,16571,ERR_CLOSEOUT_TRDMOD_REJECT,This error code will be returned when a user under a broker in „Close out‟ state tries to modifyl Trade.
CM,16592,ERR_SYS_REJECT,Order Entry is not allowed
CM,16597,RMS_ORDER_REJECT,Order entry / Modification rejected by the Exchange
CM,16598,ERR_SEC_REJECT ,Order Entry is not allowed
CM,16601,ERR_PREOPEN_ORDER_REJECT,Request Rejected by the exchange
CM,16603,MARKET_ORDER_NOT_ALLOWED_IN_BT_SESSION,Market order not allowed in Block Trade session
CM,16604,DQ_ORDER_NOT_ALLOWED_IN_CLOSING,Disclosed Quantity (DQ) order not allowed in closing session
CM,16761,ERR_ACCNT_DISABLE_TRADING,The account is debarred from trading (New error code defined for order entry/Modification due to debarred Client.)
CM,17017,ERR_VOLUNTARY_CLOSEOUT_ORDR_REJECT,Order Cancelled due to Voluntary Closeout.
FO,293,INVALID_INSTRUMENT_TYPE,Invalid instrument type.
FO,509,ORDER_NUMBER_INVALID,Order does not exit.
FO,8049,ORD_CXL_INITIATOR_AUC_NOT_ALLOWED,Initiator is not allowed to cancel auction order.
FO,8485,AUCTION_NUMBER_INVALID,Auction number does not exit
FO,16000,MARKET_CLOSED,The trading system is not available for trading.
FO,16001,e$invalid_user,Header user ID is not equal to user ID in the order packet.
FO,16003,OE_BAD_TRANS_CODE,System error was encountered. Please call the Exchange.
FO,16004,E$user_already_signed_on,The user is already signed on.
FO,16005,E$invalid_signoff,System error while trying to sign-off. Please call the Exchange.
FO,16006,E$invalid_signon,Invalid sign-on. Please try again.
FO,16007,e$signon_not_possible,Signing onto the trading system is restricted. Please try later on.
FO,16012,ERR_INVALID_SYMBOL,Invalid contract descriptor
FO,16014,e$not_your_order,This order is not yours.
FO,16015,E$not_your_fill,This trade is not yours.
FO,16016,E$invalid_fill_number,Invalid trade number.
FO,16019,E$stock_not_found,Stock not found.
FO,16035,SECURITY_NOT_AVAILABLE,Security is unavailable for trading at this time. Please try later.
